Eco_sec,Bgc_zone,Bgc_subzon,Bgc_vrt,Bgc_phase,Beumc,Slope_mod,Site_m3a,Snow_code,Above_Elev_Thold,Crown_Bear,Strct_d,Stand_d,Forested,Hectares,MURAR_PEFD_6C
NEU,ESSF,mc,,,EF,,,,N,,2,,Y,2.0714E+14,5
BUB,SBS,dk,,,SL,,,,N,,2,,Y,7.18505E+14,5
BUB,SBS,dk,,,DF,,,,N,,2,,Y,2.28693E+13,5
BUB,SBS,dk,,,UR,,,,N,,,,N,3.75007E+11,6
BUB,SBS,dk,,,WR,,,,N,,2,,Y,1.3457E+12,2
BAU,SBS,mc,2,,SF,,,,N,,2,,Y,1.85134E+14,4
NEU,SBS,dk,,,SL,,,,N,,2,,Y,2.05165E+13,5
NEU,SBS,dk,,,LL,,,,N,,,,N,1.4623E+12,6
BUB,SBS,mc,2,,SL,,,,N,,2,,Y,1.57477E+14,4
BUB,ESSF,mc,,,EF,,,,N,,2,,Y,1.28249E+13,5
BUB,SBS,dk,,,LL,,,,N,,,,N,4.26502E+12,6
NEU,SBS,mc,2,,SL,,,,N,,2,,Y,1.42062E+14,4
BUB,SBS,mc,2,,SF,,,,N,,2,,Y,3.60634E+13,4
BUB,SBS,dk,,,BB,,,,N,,2,,N,2.0945E+12,3
BUB,SBS,mc,2,,DF,,,,N,,2,,Y,1.32937E+13,5
BUB,SBS,dk,,,SF,,,,N,,2,,Y,7.36457E+11,4
BUB,SBS,dw,3,,SL,,,,N,,2,,Y,1.22166E+13,5
BUB,SBS,dk,,,GP,,,,N,,1,,N,2.46587E+11,6
BAU,SBS,mc,2,,SL,,,,N,,2,,Y,4.91966E+13,4
BAU,ESSF,mv,1,,EF,,,,N,,2,,Y,1.20161E+13,5
BAU,SBS,dk,,,SL,,,,N,,2,,Y,2.78688E+13,5
BAU,SBS,dw,3,,SL,,,,N,,2,,Y,1.5433E+12,5
BAU,SBS,wk,3,,SF,,,,N,,2,,Y,7.54485E+12,4
BAU,ESSF,mv,3,,EF,,,,N,,2,,Y,1.4683E+13,5
NAU,SBPS,mc,,,SL,,,,N,,2,,Y,1.02805E+12,5
BUB,SBS,dk,,,WR,,a,,N,,2,,Y,2.00778E+12,1
BUB,SBS,dk,,,CF,,,,N,,2b,,N,3.36032E+12,4
BUB,SBS,dk,,,UV,,,,N,,1,,N,4.20361E+11,5
BUB,SBS,dk,,,LS,,,,N,,,,N,5.50251E+12,6
BUB,SBS,dk,,,OW,,,,N,,,,N,2.43075E+12,5
BUB,SBS,dk,,,DF,,a,,N,,2,,Y,53174750767,5
BUB,ESSF,mv,1,,EF,,,,N,,2,,Y,8.72381E+11,5
BUB,SBS,dk,,,SL,,,,N,1,7a,,Y,5.20934E+13,5
BUB,SBS,dk,,,SL,,,,N,,7a,,Y,3.78185E+12,5
BAU,SBS,mc,2,,SF,,,,N,1,7a,,Y,1.55109E+13,4
BUB,SBS,mc,2,,SL,,,,N,2,5,C,Y,1.031E+12,4
BUB,SBS,mc,2,,SL,,,,N,1,5,C,Y,9.73556E+12,4
BUB,SBS,dk,,,SL,,,,N,1,5,B,Y,3.93236E+12,5
BUB,SBS,dk,,,SL,,,,N,1,5,M,Y,4.00166E+12,5
BUB,SBS,dk,,,SL,,,,N,1,5,C,Y,2.88154E+13,5
BAU,SBS,mc,2,,SF,,,,N,1,5,C,Y,1.29853E+13,4
BAU,SBS,mc,2,,SL,,,,N,3,5,C,Y,6.90878E+11,5
BAU,SBS,mc,2,,SF,,,,N,2,5,C,Y,5.78088E+12,4
BUB,SBS,mc,2,,SF,,,,N,1,5,C,Y,3.61737E+12,4
BUB,SBS,mc,2,,SF,,,,N,1,5,M,Y,2.01927E+11,4
BUB,SBS,mc,2,,MI,,,,N,,,,N,1.00963E+11,6
BUB,SBS,dw,3,,SL,,,,N,2,5,C,Y,4.00969E+11,5
BUB,SBS,dw,3,,SL,,,,N,2,5,M,Y,1.00963E+11,5
BUB,SBS,dw,3,,SL,,,,N,1,5,C,Y,1.976E+12,5
BUB,SBS,mc,2,,SL,,,,N,1,4,C,Y,1.80007E+13,5
BUB,SBS,dk,,,SL,,,,N,2,4,C,Y,2.29716E+13,5
BUB,SBS,dk,,,SL,,,,N,1,4,C,Y,6.00986E+13,5
BUB,SBS,dk,,,SL,,,,N,1,4,M,Y,6.55674E+12,5
BUB,SBS,dk,,,SL,,,,N,1,4,B,Y,5.481E+12,5
BAU,SBS,mc,2,,SL,,,,N,3,4,M,Y,57693394599,5
BAU,SBS,mc,2,,SF,,,,N,1,4,C,Y,2.37452E+13,4
BAU,SBS,mc,2,,SF,,,,N,1,4,B,Y,5.07702E+11,4
BAU,SBS,wk,3,,SF,,,,N,3,4,C,Y,6.92321E+11,5
BUB,SBS,dk,,,SL,,,,N,3,4,C,Y,1.81981E+13,5
BUB,SBS,dk,,,SL,,,,N,3,4,M,Y,2.02204E+12,5
BUB,SBS,dk,,,SL,,,,N,,4,B,Y,4.93867E+11,5
BUB,SBS,dk,,,SL,,,,N,,4,C,Y,2.35984E+11,5
BUB,SBS,dk,,,SL,,,,N,,4,M,Y,2.61704E+11,5
BUB,SBS,dk,,,SL,,,,N,2,4,M,Y,2.52998E+12,5
BUB,SBS,dk,,,SL,,,,N,2,4,B,Y,2.46635E+12,5
BAU,SBS,mc,2,,BB,,,,N,,3b,,N,3.60584E+11,4
BAU,SBS,mc,2,,SL,,,,N,1,4,C,Y,7.84486E+12,5
NEU,SBS,mc,2,,SL,,,,N,,3c,,Y,1.03513E+13,5
BUB,SBS,dk,,,SL,,,,N,,3c,,Y,1.36698E+14,5
BUB,SBS,dk,,,DF,,,,N,,3c,,Y,2.10307E+12,5
BAU,SBS,mc,2,,SF,,,,N,,3c,,Y,3.45237E+13,4
BUB,SBS,dk,,,WR,,a,,N,,3c,,Y,1.62131E+11,3
BAU,ESSF,mc,,,EF,,,,N,,3b,,Y,3.75728E+12,5
BAU,SBS,wk,3,,SF,,,,N,,3c,,Y,6.49051E+11,4
BAU,ESSF,mv,3,,EF,,,,N,,3b,,Y,72116743249,5
BAU,ESSF,mc,,,EF,,,,N,,2,,Y,3.98373E+13,5
BUB,SBS,dw,3,,SF,,,,N,,2,,Y,1.58657E+11,4
BAU,SBS,dk,,,DF,,,,N,,2,,Y,5.50107E+12,5
BUB,SBS,mc,2,,SF,,,,N,,3c,,Y,1.25033E+13,4
NEU,ESSF,mc,,,EF,,,,N,,3b,,Y,1.29451E+13,5
BUB,SBS,mc,2,,SL,,,,N,1,4,M,Y,7.64498E+11,5
BUB,SBS,mc,2,,SL,,,,N,,3b,,Y,4.7035E+12,4
BUB,SBS,dk,,,SL,,,,N,,3b,,Y,9.74049E+12,5
BUB,SBS,dk,,,WR,,,,N,,3c,,Y,2.98563E+11,3
BUB,SBS,mc,2,,SF,,,,N,1,4,C,Y,3.83661E+12,4
BUB,SBS,dk,,,WR,,,,N,2,4,B,Y,72116531994,3
BUB,SBS,dk,,,WR,,,,N,2,4,M,Y,1.61541E+11,3
BUB,SBS,dk,,,BB,,,,N,,3b,,N,8.60705E+11,4
BUB,SBS,mc,2,,BB,,,,N,,2,,N,5.88398E+11,3
BUB,SBS,mc,2,,SL,,,,N,,3c,,Y,2.77187E+13,5
BUB,SBS,mc,2,,SF,,,,N,,3b,,Y,1.7308E+11,4
BUB,ESSF,mc,,,EF,,,,N,,3b,,Y,3.34342E+12,5
BUB,SBS,mc,2,,SF,,,,N,4,4,C,Y,2.55293E+12,5
BUB,SBS,dk,,,WR,,,,N,2,4,C,Y,77885854554,3
BUB,ESSF,mc,,,EF,,,,N,,3a,,Y,5.33662E+11,5
BUB,SBS,mc,2,,SF,,,,N,2,4,C,Y,3.30294E+12,4
BUB,ESSF,mc,,,EF,,,,N,2,4,C,Y,2.22119E+12,5
BAU,SBS,mc,2,,SF,,,,N,,3b,,Y,2.21831E+12,4
BAU,SBS,mc,2,,SL,,,,N,1,5,C,Y,7.75688E+12,4
BAU,SBS,mc,2,,SL,,,,N,1,5,M,Y,6.05781E+11,4
BAU,SBS,mc,2,,LL,,,,N,,,,N,6.33219E+11,6
BAU,SBS,mc,2,,SL,,,,N,3,5,M,Y,43270045949,5
BAU,SBS,mc,2,,SL,,,,N,,3c,,Y,8.85882E+12,5
BAU,SBS,mc,2,,SL,,,,N,3,4,C,Y,1.06733E+12,5
BAU,SBS,mc,2,,SF,,,,N,1,4,M,Y,9.47614E+11,4
BAU,SBS,mc,2,,WR,,a,,N,1,4,B,Y,14423348650,3
BAU,SBS,mc,2,,WR,,a,,N,1,4,C,Y,86540091899,3
BAU,SBS,mc,2,,SL,,,,N,1,4,M,Y,6.05781E+11,5
BAU,SBS,mc,2,,UV,,,,N,,1,,N,4.61547E+11,5
BAU,ESSF,mc,,,EF,,,,N,1,4,C,Y,6.05781E+11,5
BAU,SBS,mc,2,,SL,,,,N,,3b,,Y,1.08175E+12,4
BAU,SBS,mc,2,,BB,,,,N,,3a,,N,1.2981E+11,4
BAU,SBS,mc,2,,SF,,,,N,3,4,C,Y,1.24517E+13,5
BAU,SBS,mc,2,,SF,,,,N,2,4,C,Y,5.25154E+12,4
BAU,SBS,mc,2,,SL,,,,N,2,4,C,Y,8.07708E+11,5
BAU,SBS,mc,2,,SL,,,,N,2,4,M,Y,28846697300,5
BAU,SBS,mc,2,,LS,,,,N,,,,N,1.48272E+12,6
BAU,SBS,mc,2,,SF,,,,N,1,5,M,Y,6.76455E+11,4
BAU,SBS,mc,2,,SF,,,,N,3,4,M,Y,2.23562E+11,5
BAU,ESSF,mc,,,BG,,,,N,,3a,,N,28846697300,5
BUB,SBS,dk,,,SL,,,,N,3,4,B,Y,6.54262E+11,5
BAU,ESSF,mc,,,EF,,,,N,2,4,C,Y,4.61547E+11,5
BUB,SBS,dw,3,,SL,,,,N,,3b,,Y,1.15387E+11,5
BUB,SBS,dw,3,,SL,,,,N,,3c,,Y,8.94248E+11,5
BUB,SBS,dw,3,,LS,,,,N,,,,N,2.30774E+11,6
BUB,SBS,dk,,,SL,,,,N,3,5,C,Y,1.07116E+13,5
BUB,SBS,dk,,,DF,,,,N,,4,C,Y,5.19931E+11,5
BUB,SBS,dk,,,BB,,,,N,,3a,,N,1.76207E+11,4
BUB,SBS,mc,2,,DF,,,,N,1,4,M,Y,2.6292E+11,5
BUB,SBS,mc,2,,DF,,,,N,1,4,C,Y,2.55534E+12,5
BUB,SBS,mc,2,,SL,,,,N,3,4,C,Y,3.72223E+12,5
BUB,SBS,dk,,,SL,,,,N,3,5,M,Y,1.05881E+12,5
BUB,SBS,dk,,,SL,,,,N,2,5,C,Y,1.14757E+13,5
BUB,SBS,dk,,,SL,,,,N,2,5,M,Y,2.47837E+12,5
BUB,SBS,mc,2,,SL,,,,N,1,5,M,Y,5.16628E+11,4
BUB,SBS,mc,2,,SL,,,,N,1,5,B,Y,2.65873E+11,4
BUB,SBS,mc,2,,LS,,,,N,,,,N,1.60723E+12,6
BUB,SBS,dk,,,SL,,,,N,2,5,B,Y,2.68777E+12,5
BUB,SBS,dk,,,SL,,,,N,3,5,B,Y,6.96837E+11,5
BUB,SBS,mc,2,,OW,,,,N,,,,N,5.59898E+11,5
BUB,SBS,mc,2,,SL,,,,N,2,7a,,Y,6.67022E+12,4
BUB,SBS,mc,2,,SL,,,,N,1,7a,,Y,1.91926E+13,4
BUB,SBS,mc,2,,SL,,,,N,3,4,M,Y,1.77249E+11,5
BUB,SBS,mc,2,,SL,,,,N,1,4,B,Y,2.18606E+11,5
BUB,SBS,mc,2,,SL,,,,N,3,4,B,Y,44312093315,5
BAU,SBS,mc,2,,SF,,,,N,,4,C,Y,4.07459E+12,4
BAU,SBS,mc,2,,SF,,,,N,,4,M,Y,79328269695,4
BUB,SBS,mc,2,,SF,,,,N,4,5,C,Y,4.90392E+11,5
BAU,SBS,dk,,,SL,,,,N,,3c,,Y,4.30681E+12,5
BAU,SBS,mc,2,,SF,,,,N,3,4,B,Y,1.38464E+11,5
BAU,SBS,mc,2,,RE,,,,N,,,,N,28846697300,6
BAU,SBS,dk,,,SL,,,,N,1,4,C,Y,7.06744E+11,5
BAU,SBS,dk,,,SL,,,,N,1,4,M,Y,2.1635E+11,5
BAU,SBS,mc,2,,WL,,,,N,,3a,,N,1.01829E+12,2
BAU,SBS,dk,,,SL,,,,N,1,4,B,Y,69232073519,5
BAU,SBS,mc,2,,SF,,,,N,,5,B,Y,28846697300,4
BAU,SBS,dk,,,LL,,a,,N,,,,N,72116743249,6
BAU,SBS,mc,2,,SL,,,,N,2,5,C,Y,9.00017E+11,4
BAU,SBS,dk,,,SL,,,,N,1,5,M,Y,5.01933E+11,5
BAU,SBS,dk,,,SL,,,,N,1,5,C,Y,9.51941E+11,5
BAU,SBS,mc,2,,SF,,,,N,1,5,B,Y,2.1635E+11,4
BAU,SBS,dk,,,SL,,,,N,1,5,B,Y,1.7308E+11,5
BAU,SBS,mc,2,,SF,,,,N,2,4,M,Y,73559078114,4
BAU,SBS,dk,,,BB,,,,N,,3a,,N,28846697300,4
BAU,SBS,dk,,,SL,,,,N,3,4,C,Y,6.1155E+11,5
BAU,SBS,dk,,,SL,,,,N,3,4,M,Y,4.75971E+11,5
BAU,SBS,mc,2,,SF,,,,N,2,4,B,Y,1.47118E+11,4
BAU,SBS,dk,,,SL,,,,N,3,4,B,Y,2.71159E+11,5
BAU,ESSF,mc,,,EF,,,,N,,3a,,Y,28846697300,5
BAU,ESSF,mc,,,EF,,,,N,3,4,C,Y,1.18848E+12,5
BAU,SBS,mc,2,,LL,,a,,N,,,,N,57693394599,6
BAU,SBS,mc,2,,WR,,a,,N,1,5,M,Y,14423348650,2
BAU,SBS,mc,2,,SL,,a,,N,1,5,C,Y,43270045949,4
BAU,SBS,mc,2,,SL,,,,N,3,4,B,Y,57693394599,5
BUB,SBS,dk,,,SL,,,,N,,4,C,Y,1.87504E+11,5
BAU,SBS,mc,2,,SL,,,,N,1,4,B,Y,1.87504E+11,5
BAU,SBS,mc,2,,OW,,,,N,,,,N,6.19852E+11,5
BAU,ESSF,mc,,,EF,,,,N,1,7,C,Y,1.62984E+12,5
BAU,ESSF,mc,,,EF,,,,N,1,7,M,Y,1.44233E+11,5
BAU,SBS,mc,2,,WR,,a,,N,3,4,C,Y,14423348650,3
BAU,ESSF,mc,,,EF,,,,N,1,4,M,Y,43270045949,5
BUB,SBS,dk,,,DF,,,,N,,3b,,Y,63740666421,5
BUB,SBS,dw,3,,SF,,,,N,,3b,,Y,43270045949,5
BUB,SBS,dw,3,,SF,,,,N,,7a,,Y,4.47124E+11,4
BUB,SBS,dw,3,,SF,,,,N,,3c,,Y,28846697300,5
BUB,SBS,dk,,,WR,,,,N,1,4,B,Y,28846697300,3
BUB,SBS,dk,,,WR,,,,N,1,4,C,Y,7211674325,3
BUB,SBS,mc,2,,SF,,,,N,3,4,C,Y,2.69323E+12,5
BAU,SBS,mc,2,,SL,,,,N,1,5,B,Y,1.7308E+11,4
BUB,SBS,mc,2,,SF,,,,N,3,4,M,Y,8654009190,5
BUB,SBS,mc,2,,TC,,,,N,,,,N,2.32511E+11,6
BUB,SBS,dk,,,SL,,,,N,2,7a,,Y,4.22162E+13,5
BUB,SBS,dw,3,,SL,,,,N,1,4,M,Y,2.88467E+11,5
BUB,SBS,dw,3,,SL,,,,N,1,4,C,Y,7.35591E+11,5
BUB,SBS,dk,,,SF,,,,N,,3c,,Y,5.62335E+11,5
BUB,SBS,dw,3,,BB,,,,N,,3a,,N,14423348650,4
BUB,SBS,dk,,,SL,,,,N,,5,C,Y,1.5605E+11,5
BUB,SBS,dk,,,SF,,,,N,1,5,C,Y,2.69525E+11,4
BUB,SBS,dk,,,SF,,,,N,1,4,C,Y,2.38419E+11,5
BUB,SBS,mc,2,,BB,,,,N,,3a,,N,44312292306,4
BUB,SBS,mc,2,,SL,,,,N,2,4,C,Y,6.20372E+11,5
BUB,SBS,mc,2,,LL,,,,N,,,,N,1.9202E+11,6
BUB,SBS,mc,2,,BB,,,,N,,3b,,N,2.94373E+11,4
NEU,SBS,mc,2,,UV,,,,N,,1,,N,44312159646,5
NEU,SBS,mc,2,,LS,,,,N,,,,N,1.78873E+12,6
BUB,SBS,dk,,,WL,,,,N,,3a,,N,2.03924E+11,2
BUB,SBS,mc,2,,SL,,a,,N,,3c,,Y,88624584611,5
BUB,SBS,dk,,,SF,,,,N,1,5,M,Y,17724837326,4
BUB,SBS,dw,3,,BB,,,,N,,2,,N,28846697300,3
BAU,ESSF,mv,1,,EF,,,,N,,3b,,Y,6.63474E+11,5
BAU,SBS,mc,2,,SL,,a,,N,,3c,,Y,43270045949,5
BAU,SBS,mc,2,,WR,,a,,N,,3c,,Y,14423348650,3
BAU,SBS,dk,,,SF,,,,N,,3c,,Y,1.87504E+11,5
BAU,SBS,mc,2,,SL,,a,,N,,2,,Y,1.44233E+11,4
BAU,SBS,mc,2,,WR,,a,,N,,2,,Y,2.88467E+11,1
BAU,SBS,dk,,,LS,,,,N,,,,N,1.87504E+11,6
BAU,SBS,dk,,,WR,,a,,N,,3c,,Y,14423348650,3
BAU,SBS,mc,2,,GP,,,,N,,1,,N,14423348650,6
BAU,SBS,dk,,,DF,,,,N,,3c,,Y,3.11544E+11,5
BUB,SBS,dk,,,WR,,,,N,,3b,,Y,14423306399,3
BUB,SBS,mc,2,,UV,,,,N,,1,,N,1.15734E+11,5
NEU,ESSF,mc,,,LS,,,,N,,,,N,1.53615E+12,6
NEU,SBS,mc,2,,WR,,a,,N,,3c,,Y,14770764102,3
NEU,ESSF,mc,,,EF,,,,N,,3a,,Y,1.34119E+12,5
NEU,SBS,mc,2,,SL,,,,N,,3b,,Y,4.53462E+11,4
BUB,SBS,dk,,,RO,,,,N,,1,,N,4.3426E+11,5
BUB,ESSF,mc,,,UV,,,,N,,1,,N,28846612798,5
BUB,SBS,dk,,,WL,,,,N,,2b,,N,7.387E+11,1
BAU,SBS,wk,3,,WR,,a,,N,,2,,Y,28846697300,1
BAU,ESSF,mv,3,,EF,,,,Y,,2,,Y,4.73951E+12,5
BUB,SBS,mc,2,,WR,,a,,N,,2,,Y,14770764102,1
BAU,SBS,dk,,,SF,,,,N,,2,,Y,6.57705E+11,4
BUB,SBS,dk,,,LL,,a,,N,,,,N,2.78907E+11,6
NEU,SBS,mc,2,,WR,,a,,N,,2,,Y,3.45635E+12,1
BUB,SBS,dk,,,TA,,,,N,,1,,N,44312292306,5
BAU,SBS,mc,2,,BB,,,,N,,2,,N,7.64437E+11,3
BAU,SBS,mc,2,,WL,,,,N,,2b,,N,7.00975E+11,1
BAU,SBS,dk,,,BB,,,,N,,2,,N,72116743249,3
BAU,ESSF,mc,,,BG,,,,N,,2,,N,1.15387E+11,5
BUB,SBS,mc,2,,SF,,,,N,1,7a,,Y,2.53851E+12,4
BUB,SBS,mc,2,,SF,,,,N,2,7a,,Y,4.48607E+12,4
BAU,SBS,mc,2,,WR,,a,,N,1,7a,,Y,43270045949,1
BAU,SBS,mc,2,,SF,,,,N,3,7a,,Y,9.87855E+12,4
BAU,SBS,mc,2,,SL,,,,N,1,7a,,Y,6.5583E+12,4
BAU,SBS,mc,2,,SF,,,,N,2,7a,,Y,4.7323E+12,4
BUB,SBS,mc,2,,SL,,,,N,3,7a,,Y,1.78726E+12,4
BUB,SBS,dk,,,SL,,,,N,3,7a,,Y,2.89046E+12,5
BAU,ESSF,mv,1,,EF,,,,N,1,7,C,Y,5.48087E+11,5
BAU,SBS,dk,,,SL,,,,N,1,7a,,Y,1.65869E+12,5
BAU,SBS,dk,,,SL,,,,N,3,7a,,Y,2.04812E+12,5
BAU,SBS,dw,3,,SL,,,,N,1,7a,,Y,43270045949,5
BUB,SBS,dk,,,DF,,,,N,1,7a,,Y,2.28208E+12,5
BUB,SBS,dw,3,,SL,,,,N,1,7a,,Y,1.84619E+12,5
BAU,SBS,mc,2,,SF,,,,N,3,5,C,Y,4.33422E+12,4
BAU,SBS,mc,2,,SF,,,,N,,5,C,Y,1.01973E+12,4
BUB,ESSF,mc,,,EF,,,,N,1,5,C,Y,2.50756E+11,5
BUB,SBS,dk,,,DF,,,,N,2,5,B,Y,1.87138E+11,5
BUB,SBS,dk,,,DF,,,,N,2,5,C,Y,1.79683E+11,5
BUB,SBS,dk,,,DF,,,,N,2,5,M,Y,1.4015E+11,5
BAU,ESSF,mv,1,,EF,,,,N,1,7,B,Y,14423348650,5
BAU,ESSF,mc,,,EF,,,,N,3,7,C,Y,3.22506E+12,5
BAU,ESSF,mc,,,EF,,,,N,2,5,C,Y,6.92321E+11,5
BAU,ESSF,mc,,,EF,,,,N,3,5,C,Y,1.79138E+12,5
BAU,SBS,mc,2,,SF,,,,N,3,5,B,Y,4.03854E+11,4
BAU,SBS,dk,,,SL,,,,N,3,5,M,Y,2.01927E+11,5
BAU,SBS,dk,,,SL,,,,N,3,5,C,Y,6.20204E+11,5
BAU,SBS,mc,2,,SF,,,,N,3,5,M,Y,6.20204E+11,4
BUB,SBS,mc,2,,SF,,,,N,1,5,B,Y,1.47118E+11,4
BAU,SBS,mc,2,,SF,,,,N,2,5,M,Y,4.12508E+11,4
BAU,SBS,dk,,,DF,,,,N,3,5,B,Y,5.39433E+11,5
BAU,SBS,dk,,,DF,,,,N,3,5,C,Y,28846697300,5
BAU,SBS,mc,2,,SF,,,,N,2,5,B,Y,2.42312E+11,4
BAU,SBS,dk,,,SL,,,,N,3,5,B,Y,1.2981E+11,5
BUB,SBS,mc,2,,DF,,,,N,1,5,C,Y,1.37664E+12,5
BUB,SBS,mc,2,,SL,,,,N,,5,C,Y,2.5258E+12,4
BUB,SBS,dk,,,DF,,,,N,1,5,C,Y,3.16094E+11,5
BUB,SBS,mc,2,,SL,,,,N,,5,M,Y,29541528204,4
BAU,SBS,mc,2,,SL,,,,N,3,5,B,Y,86540091899,5
BAU,SBS,mc,2,,SL,,,,N,3,7a,,Y,8.91363E+11,4
BUB,SBS,mc,2,,SF,,,,N,2,5,C,Y,4.61546E+11,4
BUB,SBS,mc,2,,SF,,,,N,4,7a,,Y,28846612798,5
BUB,SBS,dk,,,DF,,,,N,,5,C,Y,1.89066E+11,5
BUB,SBS,mc,2,,SF,,,,N,3,5,C,Y,4.38084E+11,4
BAU,ESSF,mc,,,EF,,,,N,1,5,C,Y,8.22131E+11,5
BUB,SBS,mc,2,,SL,,,,N,3,5,C,Y,1.47708E+11,5
