FREQ,BGC_Label,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,BEU_MC,REALM,GROUP,CLASS,KIND,Forested (Y/N),Strct_Climax,Stand_Climax,Stand_Age_0-15,Stand_Age_16-30,Stand_Age_31-50,Stand_Age_51-80,Stand_Age_80+,Struct_Age_0-3,Struct_Age_4-10,Struct_Age_11-30,Struct_Age_31-40,Struct_Age_41-60,Struct_Age_61-80,Struct_Age_81-139,Struct_Age_140-249,Struct_Age_250+,Snow_Code
,,BAFA,un,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,BAFA,un,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
,,BAFA,un,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,BAFA,un,,,AN,T,A,,M,N,1c,,,,,,,1c,1c,1c,1c,1c,1c,1c,1c,1c,
,,BAFA,un,,,AS,T,A,s,M,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
,,BAFA,un,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
,,BAFA,un,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
,,BAFA,un,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
,,BAFA,un,,,BK,T,S,k,M,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
,,BAFA,un,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,BAFA,un,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,BAFA,un,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
,,BAFA,un,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
,,BAFA,un,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
382,,BAFA,un,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
,,BAFA,un,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
121,,BAFA,un,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
83,,BAFA,un,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
6,,BAFA,un,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
1199,,BAFA,un,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
3,,BAFA,un,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
19,,BAFA,un,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
3,,BAFA,un,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1600,,BAFA,un,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
79,,BAFA,un,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
174,,BAFA,un,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
228,,BAFA,un,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
4515,,BAFA,un,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
8,,BAFA,unp,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
98,,BAFA,unp,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
16,,BAFA,unp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
3185,,BAFA,unp,,,AN,T,A,,M,N,1c,,,,,,,1c,1c,1c,1c,1c,1c,1c,1c,1c,
85,,BAFA,unp,,,AS,T,A,s,M,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
433,,BAFA,unp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
222,,BAFA,unp,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
9541,,BAFA,unp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
40,,BAFA,unp,,,BK,T,S,k,M,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
2455,,BAFA,unp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
186,,BAFA,unp,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
5106,,BAFA,unp,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
593,,BAFA,unp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
516,,BAFA,unp,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
254,,BAFA,unp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
35,,BAFA,unp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
4,,BAFA,unp,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
446,,BAFA,unp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
1547,,BAFA,unp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
4481,,BAFA,unp,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
1175,,BAFA,unp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
264,,BAFA,unp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
2945,,BAFA,unp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2751,,BAFA,unp,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
599,,BAFA,unp,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
328,,BAFA,unp,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
164,,BAFA,unp,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
52,,CMA,un,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
19,,CMA,un,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
153,,CMA,un,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
56,,CMA,un,,,AN,T,A,,M,N,1c,,,,,,,1c,1c,1c,1c,1c,1c,1c,1c,1c,
1341,,CMA,un,,,AS,T,A,s,M,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
124,,CMA,un,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
5,,CMA,un,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
489,,CMA,un,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
66,,CMA,un,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
261,,CMA,un,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
3143,,CMA,un,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
3447,,CMA,un,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
1265,,CMA,un,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
203,,CMA,un,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
28,,CMA,un,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
1543,,CMA,un,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
20,,CMA,un,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
91,,CMA,un,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
205,,CMA,un,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
123,,CMA,un,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,CMA,un,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
16,,CMA,un,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
16,,CMA,un,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
2,,CMA,un,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
10,,CMA,unp,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
480,,CMA,unp,,,AH,T,A,h,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
974,,CMA,unp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
35,,CMA,unp,,,AN,T,A,,M,N,1c,,,,,,,1c,1c,1c,1c,1c,1c,1c,1c,1c,
1826,,CMA,unp,,,AS,T,A,s,M,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
391,,CMA,unp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
6,,CMA,unp,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
,,CMA,unp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
,,CMA,unp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,CMA,unp,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,CMA,unp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
113,,CMA,unp,,,HP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
3,,CMA,unp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
71,,CMA,unp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
35,,CMA,unp,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
1,,CMA,unp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
1,,CMA,unp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
16,,CMA,unp,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
77,,CMA,unp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
2,,CMA,unp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
660,,CMA,unp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
447,,CMA,unp,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
18856,,CMA,unp,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
144,,CMA,unp,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
79,,CWH,ds,2,,CD,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
4,,CWH,ds,2,,CP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
3,,CWH,ds,2,,CR,T,F,h,M,Y,7a,M,,,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
203,,CWH,ds,2,,CW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
6,,CWH,ds,2,,FR,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
5,,CWH,ds,2,,HB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,ds,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,CWH,ds,2,,RS,W,W,s,O,N,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
295,,CWH,ds,2,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
8,,CWH,ms,2,,CD,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
29,,CWH,ms,2,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2,,CWH,ms,2,,CP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,ms,2,,CR,T,F,h,M,Y,7a,M,,,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,ms,2,,CW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
46883,,CWH,ms,2,,FR,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
6438,,CWH,ms,2,,HS,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
2993,,CWH,ms,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
45,,CWH,ms,2,,RS,W,W,s,O,N,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
112,,CWH,ms,2,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
66,,CWH,ms,2,,ST,O,,,N,N,,,,,,,,,,,,,,,,,
658,,CWH,ms,2,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,CWH,vh,2,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
367,,CWH,vh,2,,CB,W,P,b,O,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
30,,CWH,vh,2,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
6,,CWH,vh,2,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
217,,CWH,vh,2,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
239,,CWH,vh,2,,HL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
375,,CWH,vh,2,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
100,,CWH,vh,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
20,,CWH,vh,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
201,,CWH,vh,2,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
41,,CWH,vh,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
56,,CWH,vh,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
1,,CWH,vh,2,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
7,,CWH,vh,2,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
1,,CWH,vh,2,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
7,,CWH,vh,2,,ST,O,,,N,N,,,,,,,,,,,,,,,,,
2,,CWH,vh,2,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
41,,CWH,vh,2,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
7,,CWH,vh,2,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1,,CWH,vh,2,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
2,,CWH,vh,2,,YB,W,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
9,,CWH,vh,2,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,CWH,vh,2,,YS,W,W,s,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
238,,CWH,vm,1,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
106,,CWH,vm,1,,CB,W,P,b,O,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
86,,CWH,vm,1,,CD,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
27,,CWH,vm,1,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2,,CWH,vm,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1,,CWH,vm,1,,CR,T,F,h,M,Y,7a,M,,,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
3,,CWH,vm,1,,CW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,CWH,vm,1,,ES,E,,,,N,,,,,,,,,,,,,,,,,
18,,CWH,vm,1,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,vm,1,,GB,T,F,a,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
,,CWH,vm,1,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,CWH,vm,1,,HB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,vm,1,,HL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,CWH,vm,1,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
99,,CWH,vm,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
27,,CWH,vm,1,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
335,,CWH,vm,1,,MI,T,X,a,U,N,,,,,,,,,,,,,,,,,
56,,CWH,vm,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
,,CWH,vm,1,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
,,CWH,vm,1,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
219,,CWH,vm,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
9171,,CWH,vm,1,,RS,W,W,s,O,N,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
12791,,CWH,vm,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
3810,,CWH,vm,1,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
18,,CWH,vm,1,,ST,O,,,N,N,,,,,,,,,,,,,,,,,
6,,CWH,vm,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
1943,,CWH,vm,1,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,CWH,vm,1,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
,,CWH,vm,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
25,,CWH,vm,1,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
6,,CWH,vm,1,,YB,W,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
2225,,CWH,vm,2,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
3,,CWH,vm,2,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
6518,,CWH,vm,2,,CB,W,P,b,O,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
439,,CWH,vm,2,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
120,,CWH,vm,2,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
9,,CWH,vm,2,,CW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,vm,2,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,vm,2,,HL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
33569,,CWH,vm,2,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
3232,,CWH,vm,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
2055,,CWH,vm,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
119,,CWH,vm,2,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
7117,,CWH,vm,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
990,,CWH,vm,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
181,,CWH,vm,2,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
768,,CWH,vm,2,,RS,W,W,s,O,N,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
85,,CWH,vm,2,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
3415,,CWH,vm,2,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
61,,CWH,vm,2,,ST,O,,,N,N,,,,,,,,,,,,,,,,,
59,,CWH,vm,2,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
514,,CWH,vm,2,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1,,CWH,vm,2,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
206,,CWH,vm,2,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,CWH,vm,2,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
34,,CWH,vm,2,,YB,W,P,b,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
14,,CWH,vm,2,,YM,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
189,,CWH,vm,2,,YS,W,W,s,O,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
2,,CWH,wm,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
34,,CWH,wm,,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
9,,CWH,wm,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
61062,,CWH,wm,,,CR,T,F,h,M,Y,7a,M,,,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
6736,,CWH,wm,,,ES,E,,,,N,,,,,,,,,,,,,,,,,
7986,,CWH,wm,,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1246,,CWH,wm,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
2443,,CWH,wm,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2755,,CWH,wm,,,HB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
543,,CWH,wm,,,HL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1568,,CWH,wm,,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
214,,CWH,wm,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
27272,,CWH,wm,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
1945,,CWH,wm,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
24,,CWH,wm,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
68,,CWH,wm,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
6,,CWH,wm,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1,,CWH,wm,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
501,,CWH,wm,,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
662,,CWH,wm,,,ST,O,,,N,N,,,,,,,,,,,,,,,,,
6724,,CWH,wm,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
2516,,CWH,wm,,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
60,,CWH,wm,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
4,,CWH,wm,,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
918,,CWH,ws,1,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
675,,CWH,ws,1,,CB,W,P,b,O,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
