FREQ,BGC_Label,BGC_ZONE,BGC_SUBZON,BGC_VRT,BGC_PHASE,BEU_MC,REALM,GROUP,CLASS,KIND,Forested (Y/N),Strct_Climax,Stand_Climax,Stand_Age_0-15,Stand_Age_16-30,Stand_Age_31-50,Stand_Age_51-80,Stand_Age_80+,Struct_Age_0-3,Struct_Age_4-10,Struct_Age_11-30,Struct_Age_31-40,Struct_Age_41-60,Struct_Age_61-80,Struct_Age_81-139,Struct_Age_140-249,Struct_Age_250+,Snow_Code
1,,CWH,ws,1,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
31,,CWH,ws,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
65,,CWH,ws,1,,CR,T,F,h,M,Y,7a,M,,,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
53,,CWH,ws,1,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,CWH,ws,1,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2,,CWH,ws,1,,HB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
3805,,CWH,ws,1,,HL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
17179,,CWH,ws,1,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
18121,,CWH,ws,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
1379,,CWH,ws,1,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
10685,,CWH,ws,1,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
18610,,CWH,ws,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
57,,CWH,ws,1,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
,,CWH,ws,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,CWH,ws,1,,RS,W,W,s,O,N,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
6,,CWH,ws,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
11,,CWH,ws,1,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
3907,,CWH,ws,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
15,,CWH,ws,1,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
2785,,CWH,ws,1,,TC,T,X,a,U,N,,,,,,,,,,,,,,,,,
207,,CWH,ws,1,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
3,,CWH,ws,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
7,,CWH,ws,1,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
184,,CWH,ws,2,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
810,,CWH,ws,2,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
147,,CWH,ws,2,,CB,W,P,b,O,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
6,,CWH,ws,2,,CD,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
97,,CWH,ws,2,,CH,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
89,,CWH,ws,2,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
181,,CWH,ws,2,,CP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
38,,CWH,ws,2,,CR,T,F,h,M,Y,7a,M,,,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
75,,CWH,ws,2,,CW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2,,CWH,ws,2,,FR,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1111,,CWH,ws,2,,GB,T,F,a,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
27,,CWH,ws,2,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
305,,CWH,ws,2,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
7,,CWH,ws,2,,HB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,CWH,ws,2,,HL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
6,,CWH,ws,2,,HS,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,CWH,ws,2,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
1,,CWH,ws,2,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
21,,CWH,ws,2,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
2,,CWH,ws,2,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
1,,CWH,ws,2,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
1,,CWH,ws,2,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
31,,CWH,ws,2,,RS,W,W,s,O,N,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
22,,CWH,ws,2,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
1,,CWH,ws,2,,SL,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,ws,2,,SR,T,T,,M,Y,7a,M,,M,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,CWH,ws,2,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
,,CWH,ws,2,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,CWH,ws,2,,UR,T,X,a,U,N,,,,,,,,,,,,,,,,,
9,,CWH,ws,2,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
519,,CWH,ws,2,,WL,W,W,,U,N,3,,,,,,,2b,3,3,3,3,3,3,3,3,
271,,ESSF,mc,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
,,ESSF,mc,,,BB,W,P,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
1045,,ESSF,mc,,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
55,,ESSF,mc,,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
104,,ESSF,mc,,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
26,,ESSF,mc,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
1033,,ESSF,mc,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
1056,,ESSF,mc,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
101,,ESSF,mc,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
13,,ESSF,mc,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
97,,ESSF,mc,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
91,,ESSF,mc,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
1,,ESSF,mc,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3182,,ESSF,mc,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
4889,,ESSF,mc,,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
3161,,ESSF,mc,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
382,,ESSF,mc,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
104,,ESSF,mc,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
231,,ESSF,mc,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
500,,ESSF,mc,,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
120,,ESSF,mc,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
5319,,ESSF,mc,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
41,,ESSF,mc,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
19,,ESSF,mc,,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
3,,ESSF,mc,,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
,,ESSF,mc,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
6,,ESSF,mc,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
252,,ESSF,mc,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
693,,ESSF,mc,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
12013,,ESSF,mc,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
5891,,ESSF,mc,,,UR,T,X,,U,N,,,,,,,,,,,,,,,,,
3138,,ESSF,mc,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,ESSF,mc,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
1,,ESSF,mc,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
140,,ESSF,mc,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
50,,ESSF,mcp,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
20,,ESSF,mcp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
3,,ESSF,mcp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
9,,ESSF,mcp,,,AU,T,A,,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
85,,ESSF,mcp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
111,,ESSF,mcp,,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
19,,ESSF,mcp,,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
16,,ESSF,mcp,,,BK,T,S,k,M,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
1,,ESSF,mcp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
3,,ESSF,mcp,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
1,,ESSF,mcp,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
6,,ESSF,mcp,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
1,,ESSF,mcp,,,FB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
25,,ESSF,mcp,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
5,,ESSF,mcp,,,GB,T,F,a,N,N,1a,,,,,,,1a,1a,1a,1a,1a,1a,1a,1a,1a,
26,,ESSF,mcp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
7,,ESSF,mcp,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
29,,ESSF,mcp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
6,,ESSF,mcp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
1,,ESSF,mcp,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
543,,ESSF,mcp,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
252,,ESSF,mcp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
10,,ESSF,mcp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
510,,ESSF,mcp,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
12,,ESSF,mcp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
7,,ESSF,mcp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
2,,ESSF,mcp,,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,ESSF,mcp,,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
,,ESSF,mcp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
,,ESSF,mcp,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
373,,ESSF,mcp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
229,,ESSF,mcp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
11,,ESSF,mcp,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
28,,ESSF,mcp,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
1,,ESSF,mcp,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
249,,ESSF,mcp,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
1,,ESSF,mcp,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
262,,ESSF,mcp,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
8086,,ESSF,mk,,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
1385,,ESSF,mk,,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
3,,ESSF,mk,,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
6922,,ESSF,mk,,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
1641,,ESSF,mk,,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,ESSF,mk,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
108,,ESSF,mk,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
58,,ESSF,mk,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
5,,ESSF,mk,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
2340,,ESSF,mk,,,FB,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
149,,ESSF,mk,,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
192,,ESSF,mk,,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
41,,ESSF,mk,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
84,,ESSF,mk,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
97,,ESSF,mk,,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
382,,ESSF,mk,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
115,,ESSF,mk,,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
85,,ESSF,mk,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
22,,ESSF,mk,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
26,,ESSF,mk,,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
18,,ESSF,mk,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
4,,ESSF,mk,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
10,,ESSF,mk,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
5,,ESSF,mk,,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
149,,ESSF,mk,,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
46,,ESSF,mk,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
17,,ESSF,mk,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
396,,ESSF,mk,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
145,,ESSF,mk,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
87,,ESSF,mk,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
171,,ESSF,mk,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
302,,ESSF,mk,,,UR,T,X,,U,N,,,,,,,,,,,,,,,,,
274,,ESSF,mk,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
57,,ESSF,mk,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
19,,ESSF,mk,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
1,,ESSF,mk,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
210,,ESSF,mkp,,,AG,T,A,g,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
589,,ESSF,mkp,,,AM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
41,,ESSF,mkp,,,AT,T,A,t,M,N,2d,,,,,,,2d,2d,2d,2d,2d,2d,2d,2d,2d,
1007,,ESSF,mkp,,,AV,T,V,s,M,N,3a,,,,,,,3a,3a,3a,3a,3a,3a,3a,3a,3a,
103,,ESSF,mkp,,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
13,,ESSF,mkp,,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
24,,ESSF,mkp,,,BK,T,S,k,M,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
17,,ESSF,mkp,,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
,,ESSF,mkp,,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
,,ESSF,mkp,,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
,,ESSF,mkp,,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
,,ESSF,mkp,,,GL,T,,,N,N,,,,,,,,,,,,,,,,,
11,,ESSF,mkp,,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
22,,ESSF,mkp,,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
8,,ESSF,mkp,,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
2,,ESSF,mkp,,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
250,,ESSF,mkp,,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
500,,ESSF,mkp,,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
19,,ESSF,mkp,,,RM,T,X,,U,N,3,,,,,,,2,2,3,3,3,3,3,3,3,
2,,ESSF,mkp,,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
11,,ESSF,mkp,,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
107,,ESSF,mkp,,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
1,,ESSF,mkp,,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
14,,ESSF,mkp,,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
199,,ESSF,mkp,,,SU,T,G,b,M,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
28,,ESSF,mkp,,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
538,,ESSF,mkp,,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
22,,ESSF,mkp,,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
26,,ESSF,mkp,,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
143,,ESSF,mkp,,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
8767,,ESSF,mkp,,,WB,T,,,M,Y,7,C,,,C,C,C,2b,3a,3a,3b,4,5,6,7,7,
14033,,ESSF,mkp,,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
3236,,ESSF,mkp,,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
447,,ESSF,mv,1,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
38,,ESSF,mv,1,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
1,,ESSF,mv,1,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
10,,ESSF,mv,1,,CF,T,X,,U,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
1,,ESSF,mv,1,,CL,T,R,c,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
12,,ESSF,mv,1,,EF,T,T,,M,Y,7,C,,,C,C,C,2,3a,3a,3b,4,5,6,7,7,
47,,ESSF,mv,1,,ER,T,F,h,M,Y,7a,M,,B,M,M,M,2,3a,3b,3c,4,5,6,7a,7a,
35,,ESSF,mv,1,,EW,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
40,,ESSF,mv,1,,FE,W,W,f,O,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
,,ESSF,mv,1,,FP,T,T,,M,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
926,,ESSF,mv,1,,GP,T,X,a,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
19,,ESSF,mv,1,,LL,O,,,N,N,,,,,,,,,,,,,,,,,
564,,ESSF,mv,1,,LP,T,T,,M,Y,7a,C,,,C,C,C,2,3a,3b,3c,4,5,6,7a,7a,
21,,ESSF,mv,1,,LS,O,,,N,N,,,,,,,,,,,,,,,,,
3802,,ESSF,mv,1,,ME,T,G,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
419,,ESSF,mv,1,,MI,T,X,,U,N,,,,,,,,,,,,,,,,,
263,,ESSF,mv,1,,OW,O,,,N,N,,,,,,,,,,,,,,,,,
75,,ESSF,mv,1,,RE,O,,,N,N,,,,,,,,,,,,,,,,,
207,,ESSF,mv,1,,RI,O,,,N,N,,,,,,,,,,,,,,,,,
252,,ESSF,mv,1,,RO,T,R,o,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
324,,ESSF,mv,1,,SC,T,S,c,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
104,,ESSF,mv,1,,SG,T,G,b,M,N,2b,,,,,,,2b,2b,2b,2b,2b,2b,2b,2b,2b,
249,,ESSF,mv,1,,SH,W,W,f,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
73,,ESSF,mv,1,,SM,T,A,m,M,N,2a,,,,,,,2a,2a,2a,2a,2a,2a,2a,2a,2a,
47,,ESSF,mv,1,,SW,W,M,s,M,N,3b,,,,,,,3a,3a,3b,3b,3b,3b,3b,3b,3b,
12,,ESSF,mv,1,,TA,T,R,t,N,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
8,,ESSF,mv,1,,TC,T,X,,U,N,,,,,,,,,,,,,,,,,
115,,ESSF,mv,1,,TR,T,X,,U,N,3b,,,,,,,2b,3a,3a,3b,3b,3b,3b,3b,3b,
98,,ESSF,mv,1,,UR,T,X,,U,N,,,,,,,,,,,,,,,,,
318,,ESSF,mv,1,,UV,T,,,U,N,1,,,,,,,1,1,1,1,1,1,1,1,1,
177,,ESSF,mv,1,,WL,W,W,,U,N,3a,,,,,,,2b,2b,3a,3a,3a,3a,3a,3a,3a,
17,,ESSF,mv,1,,WP,T,T,,U,Y,7,C,,,C,C,C,2,2,3a,3b,4,5,6,7,7,
218,,ESSF,mv,3,,AV,T,V,s,M,N,3b,,,,,,,2b,3a,3a,3a,3b,3b,3b,3b,3b,
89,,ESSF,mv,3,,BB,W,W,b,O,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
163,,ESSF,mv,3,,BG,W,W,b,O,N,3a,,,,,,,2,2,3a,3a,3a,3a,3a,3a,3a,
232,,ESSF,mv,3,,BR,T,,,U,N,3b,,,,,,,2,2,3a,3a,3b,3b,3b,3b,3b,
